| # | Views | Change | Path | Page |
| 101 |  | (new) | /ucloud/guides/advanced-guides/connect-neo4j-to-vscode | Connect Neo4j to VS Code |
| 102 |  | (new) | /ucloud/guides/getting-started/Licens | License Management |
| 103 |  | (new) | /ai-cloud/additional-guides/creating-a-virtual-environment | Creating a virtual environment |
| 104 |  | (new) | /claaudia-llm | CLAAUDIA LLM Platform |
| 105 |  | -54% | /ai-lab/getting-started/file-management | File management |
| 106 |  | (new) | /taaurus | About TAAURUS |
| 107 |  | (new) | /ai-cloud/getting-started/pull-container-images | Pull container images |
| 108 | 3933 | (new) | /strato/usage-management | Usage Management |
| 109 |  | (new) | /taaurus/guides/login | How to log in |
| 110 |  | (new) | /external-hpc/access | How to access |
| 111 |  | +3000% | /strato/best-practice-guides/stop-pause-and-delete-instances | Stop, pause & delete instances |
| 112 |  | +3000% | /strato/getting-started/access-instance/insert_link | AAU HPC #116 29 (new) /ucloud/guides/application-guides/Dictaphone Dictaphone |
| 113 |  | (new) | /ai-lab/workshop/5-logging-into-ai-lab | 5. Logging into AI-LAB |
| 114 |  | (new) | /external-hpc/eurohpc-resources | EuroHPC resources |
| 115 |  | +2800% | /terms-and-conditions | Terms and conditions |
| 116 |  | -61% | /ai-lab/getting-started/running-jobs | Running jobs |
| 117 | 3928 | (new) | /ai-cloud/getting-started/look-around | Look around |
| 118 |  | (new) | /ai-cloud/additional-guides/directories-overview | Overview of directories |
| 119 |  | (new) | /external-hpc/facilities | Overview of HPC facilities |
| 120 |  | (new) | /strato/advanced-guides/check-ownership-guide | Check ownership of instances and volumes on Strato |
| 121 |  | -30% | /ai-lab/additional-guides/run-a-bash-script | Run a bash script |
| 122 |  | -72% | /ai-lab/additional-guides/building-your-own-container-image | Building your own container image |
| 123 |  | +33% | /ucloud/guides/transcriber | AAU HPC #128 23 (new) /ai-lab/workshop/11-exercise-1 11. Exercise 1 |
| 124 |  | (new) | /strato/application-guides/Isaac-sim | Installation guide for Isaac-sim on Strato |
| 125 |  | -80% | /ai-lab/additional-guides/checking-the-queue | Checking the queue |
| 126 | 3921 | (new) | /ai-lab/workshop/13-exercise-2 | 13. Exercise 2 |
| 127 |  | -25% | /ai-lab/additional-guides/creating-shared-project-directories | Creating shared project directories |
| 128 |  | -69% | /ai-lab/applications/linux-text-editors | Linux text editors |
| 129 |  | (new) | /ai-lab/workshop/6-file-handling-on-ai-lab | 6. File Handling on AI-LAB |
| 130 |  | (new) | /ai-lab/workshop/15-containers | 15. Containers |
| 131 |  | (new) | /ai-lab/workshop/1-Introduction-to-ai-lab | 1. Introduction to AI-LAB |
| 132 |  | +58% | /ai-lab/additional-guides/creating-a-conda-environment | Creating a conda environment |
| 133 |  | -10% | /ai-lab/additional-guides/download-container-images | Download container images |
| 134 |  | (new) | /ai-lab/workshop/16-getting-containers | 16. Getting Containers |
| 135 |  | +200% | /ai-lab/for-lecturers/page-design-guide | Page design guide |
| 136 | 3918 | -14% | /ai-lab/courses/ai-lab-workshop | AI-LAB Workshop |
| 137 |  | (new) | /taaurus/guides/before-running-jobs | Before running jobs |
| 138 |  | (new) | /ai-lab/workshop/12-creating-a-sbatch-script | 12. Creating a job script |
| 139 |  | (new) | /ai-lab/workshop/9-slurm | 9. Slurm |
| 140 |  | (new) | /taaurus/guides/applying-for-a-taaurus-project | Applying for a TAAURUS project |
| 141 |  | (new) | /ai-cloud/additional-guides/checking-gpu-utilisation | Checking GPU utilisation |
| 142 |  | (new) | /ai-lab/workshop/17-using-containers | 17. Using Containers |
| 143 |  | (new) | /ai-lab/workshop/4-the-ai-lab-workflow | 4. The AI-LAB Workflow |
| 144 |  | (new) | /ai-lab/workshop/8-transferring-files | 8. Transferring Files |
| 145 |  | (new) | /ai-lab/workshop/2-what-is-ai-lab | 2. What is AI-LAB? |
| 146 | 3913 | (new) | /ai-lab/workshop/3-ai-lab-under-the-hood | 3. AI-LAB Under the Hood |
| 147 |  | (new) | /) | AAU HPC #153 12 +1100% /strato/best-practice-guides/how-to-minimize-the-risk-of-malware How to Minimize the Risk of Malware |
| 148 |  | +500% | /strato/best-practice-guides/create-smaller-volumes | Create smaller volumes |
| 149 |  | +71% | /ai-lab/additional-guides/cancelling-jobs | Cancelling jobs |
| 150 |  | (new) | /taaurus/guides/getting-containers | Getting Containers |
| 151 |  | (new) | /ai-lab/workshop/14-allocating-resources | 14. Allocating Resources |
| 152 |  | -45% | /ucloud/guides/getting-started | AAU HPC #159 11 +22% /ai-lab/courses/name-generator-exercises/part-2 Part two |
| 153 |  | (new) | /ai-lab/workshop/18-exercise-3 | 18. Exercise 3 |
| 154 | 3910 | (new) | /ai-lab/workshop/7-essential-linux-commands | 7. Essential Linux Commands |
| 155 |  | -44% | /ai-lab/courses/name-generator-exercises/part-1 | Part one |
| 156 |  | -79% | /ai-lab/getting-started/getting-applications | Getting applications |
| 157 |  | (new) | /ai-lab/workshop/10-two-ways-of-running-jobs | 10. Two Ways of Running Jobs |
| 158 |  | (new) | /ai-cloud/getting-started/file-transfer/getting-applications.md | AAU HPC #166 9 (new) /ai-lab/faq Faq |
| 159 |  | (new) | /ai-cloud/additional-guides/local-storage | Local scratch space |
| 160 |  | (new) | /funding-decision-tree | Funding decision tree |
| 161 |  | +14% | /ai-lab/additional-guides/setting-a-time-limit | Setting a time limit |
| 162 |  | -62% | /ai-lab/known-issues | Known issues |
| 163 | 397 | (new) | /taaurus/guides/navigating-taaurus | Navigating TAAURUS |
| 164 |  | (new) | /ai-cloud/additional-guides/understanding-linux-cli | Understanding the Linux CLI |
| 165 |  | (new) | /ai-cloud/getting-started/transfer-files/getting-applications.md | AAU HPC #174 7 (new) /ucloud/guides/application-guides/transcriber/transcriber-interface Transcriber interface |
| 166 |  | +17% | /ai-lab/applications/matlab | MATLAB |
| 167 |  | -56% | /ai-lab/applications/pytorch | PyTorch |
| 168 |  | (new) | /ai-lab/workshop/19-final-pointers | 19. Final pointers |
| 169 |  | +500% | /strato/getting-started/access-instance/link | AAU HPC #179 6 +200% /ucloud/getting-started AAU HPC #180 5 (new) /taaurus/guides/using-containers Using Containers |
| 170 | 395 | (new) | /taaurus/guides/running-jobs | Running Jobs |
| 171 |  | (new) | /taaurus/guides/monitoring | Monitoring |
| 172 |  | (new) | /taaurus/system-overview | System overview |
| 173 |  | (new) | /service-windows/ai-lab/additional-guides/requeuing-and-checkpointing | AAU HPC #185 5 û83% /ai-lab/getting-started/next-steps Next steps |
| 174 |  | (new) | /taaurus/guides/import-export-of-data | Import & export of data |
| 175 |  | (new) | /ai-cloud/additional-guides/edit-text-files-with-nano | Edit text files with Nano |
| 176 |  | (new) | /ucloud/guides/monitoring | AAU HPC #189 4 (new) /robots.txt AAU HPC #190 4 (new) /ai-cloud/faq Faq |
| 177 | 393 | (new) | /lumi | AAU HPC #192 3 (new) /ai-cloud/getting-started/container-images/ai-cloud/getting-started/file-management AAU HPC #193 3 (new) /taaurus/how-to-access AAU HPC #194 3 (new) /ood-setup Ood setup |
| 178 |  | (new) | /service-windows/strato/best-practice-guides/delete-and-restart-an-instance-from-the-volume | AAU HPC #196 3 (new) /strato/faq Faq |
| 179 |  | (new) | /ucloud/faq | Faq |
| 180 |  | (new) | /aicloud | AAU HPC #199 3 1% /ai-lab/for-lecturers/adding-a-course Adding a course |
| 181 |  | -90% | /ai-lab/additional-guides/requeuing-and-checkpointing | Requeuing and checkpointing |
| 182 | 392 | (new) | /ucloud/?trk=public_post_reshare-text | About UCloud |
| 183 |  | (new) | /ai-cloud/getting-started/pull-container-images/running-jobs.md | AAU HPC #203 2 (new) /typo3 AAU HPC #204 2 (new) /phpmyadmin AAU HPC #205 2 (new) /webmail/src/login.php AAU HPC #206 2 (new) /libs/granite/core/content/login.html AAU HPC #207 2 (new) /wp-login.php AAU HPC #208 2 (new) /CMSPages/logon.aspx AAU HPC #209 2 (new) /squirrelmail/src/login.php AAU HPC #210 2 (new) /horde/login.php AAU HPC 39 2 (new) /ai-cloud/additional-guides/building-your-own-container-image/?query=permission+denied Building your own container image |
| 184 |  | (new) | /ai-lab/courses/name-generator-exercises | AAU HPC #213 2 û60% /ai-lab/applications/imagemagick ImageMagick |
| 185 |  | +100% | /overview/platform-overview | AAU HPC #215 2 û67% /ai-lab/applications/tensorflow TensorFlow |

